,area_name,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,total_cases,tot_mobility,income,White,Asian,Black,Mixed/ Other,Total
0,Barking and Dagenham,-32.76,-8.596,49.94805194805195,-39.52,-43.332,15.172,21871.0,-31.052,29420.0,0.5069767441860475,0.2511627906976755,0.1674418604651173,0.06976744186046507,215000.0
1,Barnet,-36.428,-11.856,67.31168831168831,-48.196,-53.004,20.036,28165.0,-37.371,40530.0,0.641025641025638,0.14615384615384633,0.07692307692307672,0.13846153846153839,390000.0
2,Bexley,-38.196,-9.8,43.25974025974026,-49.192,-49.932,18.444,20980.0,-36.78,36990.0,0.7862903225806425,0.06854838709677416,0.08467741935483879,0.060483870967741986,248000.0
3,Brent,-36.544,-8.796,83.08658008658008,-44.484,-48.48,17.82,25994.0,-34.576,32140.0,0.3109756097560986,0.32621951219512335,0.1890243902439016,0.1707317073170737,328000.0
4,Bromley,-38.548,-9.572,30.004329004329005,-51.668,-55.656,21.06,22968.0,-38.861,43060.0,0.8090909090909116,0.04545454545454544,0.06363636363636395,0.08484848484848483,330000.0
5,Camden,-69.26,-38.376,0.934156378600823,-68.672,-63.888,23.756,13107.0,-60.049,43750.0,0.6196078431372574,0.1529411764705884,0.07450980392156845,0.1490196078431369,255000.0
6,City of London,-81.488,-67.528,-72.736,-75.048,-65.27826086956522,,104.0,-72.35,63620.0,,,,,9000.0
7,Croydon,-40.016,-8.936,58.16883116883117,-51.132,-49.136,19.016,28720.0,-37.305,37000.0,0.5880829015544017,0.18134715025906684,0.1658031088082906,0.062176165803109,386000.0
8,Ealing,-34.008,-10.72,56.78354978354978,-49.524,-49.7,18.792,27793.0,-35.988,36070.0,0.5072886297376122,0.27988338192419865,0.06705539358600598,0.1457725947521872,343000.0
9,Enfield,-32.824,-10.08,35.61038961038961,-43.936,-45.804,16.988,28199.0,-33.161,33110.0,0.6112759643916937,0.10979228486646876,0.21958456973293752,0.05934718100890234,337000.0
10,Greenwich,-39.756,-9.24,20.558441558441558,-44.584,-54.332,19.88,20857.0,-36.978,35350.0,0.6267605633802845,0.13732394366197173,0.1690140845070423,0.06690140845070405,284000.0
11,Hackney,-49.232,-9.372,60.63636363636363,-53.408,-57.124,21.152,20374.0,-42.284,35140.0,0.5124555160142314,0.11387900355871856,0.22419928825622842,0.14946619217081927,281000.0
12,Hammersmith and Fulham,-55.616,-25.12,20.385281385281385,-56.124,-61.14,23.084,11762.0,-49.5,43820.0,0.6611111111111081,0.11111111111111079,0.12777777777777727,0.10555555555555515,180000.0
13,Haringey,-36.916,-14.672,52.883116883116884,-50.316,-55.408,20.22,19549.0,-39.328,35420.0,0.6521739130434782,0.0652173913043477,0.12318840579710154,0.15942028985507267,276000.0
14,Harrow,-38.437751004016064,-11.752,65.0695652173913,-49.224,-49.476,19.24,18780.0,-37.18674698795181,38880.0,0.44176706827309353,0.3935742971887536,0.052208835341365674,0.11244979919678759,249000.0
15,Havering,-37.556,-11.308,18.337662337662337,-46.412,-48.908,17.64,25412.0,-36.046,36670.0,0.8372093023255834,0.05038759689922456,0.05426356589147295,0.05813953488372063,258000.0
