,area_name,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,total_cases,tot_mobility,income,White,Asian,Black,Mixed/ Other,Total
16,Hillingdon,-40.932,-10.816,55.064935064935064,-64.848,-48.144,18.336,23607.0,-41.185,37040.0,0.5049180327868869,0.3278688524590181,0.07868852459016405,0.09180327868852445,305000.0
17,Hounslow,-35.06,-13.364,41.714285714285715,-46.868,-48.556,18.168,22198.0,-35.962,35330.0,0.4832713754646825,0.3197026022304829,0.0929368029739773,0.10780669144981384,269000.0
18,Islington,-64.032,-25.168,24.4978354978355,-64.02,-65.104,25.66,14046.0,-54.581,39790.0,0.7021276595744703,0.07234042553191479,0.10638297872340377,0.11914893617021255,235000.0
19,Kensington and Chelsea,-60.952,-16.084,-5.1558441558441555,-60.828,-59.168,20.905349794238685,8193.0,-49.258,55620.0,0.649350649350651,0.11688311688311637,0.09740259740259799,0.14285714285714285,154000.0
20,Kingston upon Thames,-44.872,-17.168,20.03076923076923,-53.472,-56.12,21.372,11136.0,-42.908,43940.0,0.6949152542372874,0.1694915254237295,0.016949152542372843,0.11864406779660973,177000.0
21,Lambeth,-52.704,-15.088,13.719148936170212,-62.512,-58.324,23.428,22466.0,-47.157,38490.0,0.530864197530863,0.08641975308641996,0.2345679012345684,0.15123456790123418,324000.0
22,Lewisham,-33.94,-4.044,67.0952380952381,-49.588,-56.968,21.692,20400.0,-36.135,35900.0,0.6327868852459038,0.07540983606557422,0.19016393442623022,0.09836065573770464,305000.0
23,Merton,-43.056,-13.948,31.41125541125541,-52.736,-54.3,20.9,14755.0,-41.01,41960.0,0.6521739130434782,0.16908212560386462,0.07729468599033842,0.10144927536231912,207000.0
24,Newham,-44.56,-13.0,119.12121212121212,-50.728,-51.02,18.076,33090.0,-39.827,28780.0,0.31623931623931745,0.47293447293447183,0.1339031339031331,0.07692307692307672,351000.0
25,Redbridge,-32.496,-9.868,54.696969696969695,-49.568,-51.848,18.476,30776.0,-35.945,36860.0,0.4657980456026078,0.41042345276872877,0.06514657980456025,0.05863192182410386,307000.0
26,Richmond upon Thames,-43.29718875502008,-11.344,37.03030303030303,-54.968,-61.544,22.437751004016064,9816.0,-42.76204819277108,53470.0,0.8673469387755117,0.056122448979591615,,0.07142857142857142,196000.0
27,Southwark,-52.108,-20.392,-9.248,-60.04,-58.644,22.792,21102.0,-47.796,37100.0,0.6349206349206332,0.05396825396825381,0.2031746031746026,0.11111111111111079,315000.0
28,Sutton,-38.52564102564103,-12.544,44.523809523809526,-53.888,-52.428,19.444,14700.0,-39.340811965811966,39940.0,0.7205882352941162,0.1764705882352946,0.05392156862745118,0.049019607843137115,204000.0
29,Tower Hamlets,-59.192,-21.344,-22.456,-60.984,-63.268,24.156,27316.0,-51.197,34930.0,0.46178343949044626,0.4076433121019108,0.07006369426751591,0.06050955414012729,314000.0
30,Waltham Forest,-28.992,-8.732,39.484848484848484,-47.664,-52.84,19.052,23400.0,-34.557,33080.0,0.5126353790613685,0.15884476534296027,0.15523465703971115,0.173285198555957,277000.0
31,Wandsworth,-44.896,-15.052,36.45606694560669,-53.584,-61.084,24.88,20265.0,-43.654,47480.0,0.7492260061919485,0.058823529411764525,0.12074303405572788,0.07120743034055722,323000.0
32,Westminster,-73.024,-43.568,-47.064,-69.34,-62.44,22.724,12935.0,-62.093,47510.0,0.5809128630705396,0.13692946058091277,0.07053941908713676,0.21161825726141156,241000.0
