,date,new_cases,total_cases
185,2020-08-03,87,1895
186,2020-08-04,104,1898
187,2020-08-05,113,1899
188,2020-08-06,104,1899
189,2020-08-07,123,1904
190,2020-08-08,55,1906
191,2020-08-09,67,1907
192,2020-08-10,143,1911
193,2020-08-11,149,1913
194,2020-08-12,160,1918
195,2020-08-13,124,1920
196,2020-08-14,126,1924
197,2020-08-15,106,1924
198,2020-08-16,88,1926
199,2020-08-17,189,1937
200,2020-08-18,181,1943
201,2020-08-19,152,1947
202,2020-08-20,205,1953
203,2020-08-21,167,1955
204,2020-08-22,119,1956
205,2020-08-23,141,1958
206,2020-08-24,195,1971
207,2020-08-25,170,1975
208,2020-08-26,164,1978
209,2020-08-27,229,1983
210,2020-08-28,221,1990
211,2020-08-29,139,1995
212,2020-08-30,133,1999
213,2020-08-31,216,2008
214,2020-09-01,314,2021
215,2020-09-02,333,2041
216,2020-09-03,347,2051
217,2020-09-04,355,2066
218,2020-09-05,270,2073
219,2020-09-06,205,2078
220,2020-09-07,463,2089
221,2020-09-08,344,2106
222,2020-09-09,343,2114
223,2020-09-10,392,2126
224,2020-09-11,331,2132
225,2020-09-12,230,2135
226,2020-09-13,112,2139
227,2020-09-14,300,2145
228,2020-09-15,269,2152
229,2020-09-16,293,2160
230,2020-09-17,323,2169
231,2020-09-18,387,2188
232,2020-09-19,339,2193
233,2020-09-20,410,2199
234,2020-09-21,428,2211
235,2020-09-22,521,2224
236,2020-09-23,657,2248
237,2020-09-24,599,2274
238,2020-09-25,604,2298
239,2020-09-26,548,2313
240,2020-09-27,528,2335
241,2020-09-28,740,2368
242,2020-09-29,699,2398
243,2020-09-30,988,2434
244,2020-10-01,1069,2492
245,2020-10-02,1037,2541
246,2020-10-03,790,2566
247,2020-10-04,819,2601
248,2020-10-05,1288,2664
249,2020-10-06,1166,2716
250,2020-10-07,1402,2781
251,2020-10-08,1477,2859
252,2020-10-09,1344,2921
253,2020-10-10,871,2964
254,2020-10-11,741,3004
255,2020-10-12,1572,3080
256,2020-10-13,1423,3151
257,2020-10-14,1621,3234
258,2020-10-15,1719,3318
259,2020-10-16,1655,3400
260,2020-10-17,1107,3457
261,2020-10-18,1294,3524
262,2020-10-19,2334,3674
263,2020-10-20,2314,3804
264,2020-10-21,2358,3932
265,2020-10-22,2174,4080
266,2020-10-23,2004,4188
267,2020-10-24,1432,4266
268,2020-10-25,1292,4340
269,2020-10-26,2524,4470
270,2020-10-27,2086,4572
271,2020-10-28,1964,4664
272,2020-10-29,2009,4784
273,2020-10-30,1872,4871
274,2020-10-31,1387,4946
275,2020-11-01,1204,4998
276,2020-11-02,2907,5171
277,2020-11-03,2127,5289
278,2020-11-04,2043,5408
279,2020-11-05,2087,5511
280,2020-11-06,2109,5621
281,2020-11-07,1647,5691
282,2020-11-08,1756,5807
283,2020-11-09,3079,5953
284,2020-11-10,2721,6081
285,2020-11-11,2909,6218
286,2020-11-12,2838,6367
287,2020-11-13,2692,6510
288,2020-11-14,1916,6616
289,2020-11-15,1797,6698
290,2020-11-16,3066,6846
291,2020-11-17,2557,6936
292,2020-11-18,2451,7045
293,2020-11-19,2176,7145
294,2020-11-20,2107,7248
295,2020-11-21,1473,7315
296,2020-11-22,1479,7382
297,2020-11-23,2387,7502
298,2020-11-24,2145,7597
299,2020-11-25,2238,7705
300,2020-11-26,2063,7774
301,2020-11-27,2195,7853
302,2020-11-28,1637,7923
303,2020-11-29,1650,7975
304,2020-11-30,2688,8072
305,2020-12-01,2448,8161
306,2020-12-02,2785,8261
307,2020-12-03,2449,8343
308,2020-12-04,2921,8433
309,2020-12-05,2274,8501
310,2020-12-06,2418,8639
311,2020-12-07,3704,8852
312,2020-12-08,3697,9051
313,2020-12-09,4408,9306
314,2020-12-10,4993,9566
315,2020-12-11,5470,9830
316,2020-12-12,4659,10141
317,2020-12-13,5496,10525
318,2020-12-14,8307,10968
319,2020-12-15,8819,11482
320,2020-12-16,9908,12058
321,2020-12-17,10129,12574
322,2020-12-18,10766,13141
323,2020-12-19,7143,13522
324,2020-12-20,8877,14008
325,2020-12-21,13220,14592
326,2020-12-22,13317,15115
327,2020-12-23,12350,15730
328,2020-12-24,9406,16171
329,2020-12-25,4332,16414
330,2020-12-26,11844,16984
331,2020-12-27,13145,17644
332,2020-12-28,10652,18152
333,2020-12-29,19857,19076
334,2020-12-30,17298,19886
335,2020-12-31,12364,20510
336,2021-01-01,6717,20837
337,2021-01-02,13592,21564
338,2021-01-03,13076,22224
339,2021-01-04,17109,22960
340,2021-01-05,14375,23560
341,2021-01-06,13309,24326
342,2021-01-07,11846,24984
343,2021-01-08,9887,25571
344,2021-01-09,6476,25921
