,date,new_cases,total_cases
185,2020-08-03,87,1898
186,2020-08-04,104,1901
187,2020-08-05,113,1902
188,2020-08-06,104,1902
189,2020-08-07,122,1907
190,2020-08-08,55,1909
191,2020-08-09,67,1910
192,2020-08-10,143,1914
193,2020-08-11,149,1916
194,2020-08-12,160,1921
195,2020-08-13,124,1923
196,2020-08-14,126,1927
197,2020-08-15,106,1927
198,2020-08-16,88,1929
199,2020-08-17,189,1940
200,2020-08-18,181,1946
201,2020-08-19,152,1950
202,2020-08-20,203,1956
203,2020-08-21,168,1958
204,2020-08-22,120,1959
205,2020-08-23,142,1961
206,2020-08-24,195,1974
207,2020-08-25,169,1978
208,2020-08-26,164,1981
209,2020-08-27,229,1986
210,2020-08-28,221,1993
211,2020-08-29,139,1998
212,2020-08-30,133,2002
213,2020-08-31,216,2011
214,2020-09-01,314,2024
215,2020-09-02,333,2044
216,2020-09-03,347,2054
217,2020-09-04,355,2069
218,2020-09-05,270,2076
219,2020-09-06,205,2081
220,2020-09-07,463,2092
221,2020-09-08,343,2109
222,2020-09-09,344,2117
223,2020-09-10,392,2129
224,2020-09-11,332,2135
225,2020-09-12,230,2138
226,2020-09-13,112,2142
227,2020-09-14,299,2148
228,2020-09-15,270,2155
229,2020-09-16,293,2163
230,2020-09-17,322,2171
231,2020-09-18,386,2189
232,2020-09-19,338,2194
233,2020-09-20,410,2200
234,2020-09-21,428,2212
235,2020-09-22,520,2224
236,2020-09-23,657,2248
237,2020-09-24,599,2274
238,2020-09-25,604,2298
239,2020-09-26,548,2313
240,2020-09-27,528,2334
241,2020-09-28,741,2366
242,2020-09-29,700,2396
243,2020-09-30,988,2434
244,2020-10-01,1071,2492
245,2020-10-02,1037,2541
246,2020-10-03,790,2566
247,2020-10-04,819,2601
248,2020-10-05,1288,2664
249,2020-10-06,1166,2716
250,2020-10-07,1403,2781
251,2020-10-08,1477,2859
252,2020-10-09,1345,2921
253,2020-10-10,871,2967
254,2020-10-11,740,3007
255,2020-10-12,1572,3083
256,2020-10-13,1423,3154
257,2020-10-14,1622,3237
258,2020-10-15,1717,3321
259,2020-10-16,1654,3403
260,2020-10-17,1106,3460
261,2020-10-18,1295,3527
262,2020-10-19,2335,3677
263,2020-10-20,2314,3807
264,2020-10-21,2356,3935
265,2020-10-22,2172,4083
266,2020-10-23,2005,4191
267,2020-10-24,1430,4269
268,2020-10-25,1294,4343
269,2020-10-26,2524,4473
270,2020-10-27,2087,4575
271,2020-10-28,1965,4667
272,2020-10-29,2009,4787
273,2020-10-30,1872,4874
274,2020-10-31,1387,4949
275,2020-11-01,1202,5001
276,2020-11-02,2907,5174
277,2020-11-03,2128,5292
278,2020-11-04,2044,5411
279,2020-11-05,2088,5514
280,2020-11-06,2110,5624
281,2020-11-07,1647,5694
282,2020-11-08,1758,5810
283,2020-11-09,3079,5955
284,2020-11-10,2724,6083
285,2020-11-11,2908,6220
286,2020-11-12,2840,6369
287,2020-11-13,2693,6512
288,2020-11-14,1917,6618
289,2020-11-15,1797,6699
290,2020-11-16,3066,6847
291,2020-11-17,2557,6937
292,2020-11-18,2454,7046
293,2020-11-19,2178,7146
294,2020-11-20,2106,7249
295,2020-11-21,1476,7316
296,2020-11-22,1479,7383
297,2020-11-23,2386,7503
298,2020-11-24,2146,7598
299,2020-11-25,2238,7706
300,2020-11-26,2063,7775
301,2020-11-27,2193,7854
302,2020-11-28,1638,7924
303,2020-11-29,1652,7976
304,2020-11-30,2688,8073
305,2020-12-01,2446,8162
306,2020-12-02,2789,8262
307,2020-12-03,2450,8344
308,2020-12-04,2921,8434
309,2020-12-05,2273,8502
310,2020-12-06,2420,8640
311,2020-12-07,3704,8853
312,2020-12-08,3697,9052
313,2020-12-09,4412,9307
314,2020-12-10,4994,9567
315,2020-12-11,5473,9831
316,2020-12-12,4660,10142
317,2020-12-13,5495,10526
318,2020-12-14,8312,10968
319,2020-12-15,8822,11482
320,2020-12-16,9962,12058
321,2020-12-17,10129,12574
322,2020-12-18,10770,13141
323,2020-12-19,7145,13522
324,2020-12-20,8882,14008
325,2020-12-21,13221,14593
326,2020-12-22,13327,15116
327,2020-12-23,12354,15732
328,2020-12-24,9413,16172
329,2020-12-25,4325,16415
330,2020-12-26,11852,16986
331,2020-12-27,13146,17645
332,2020-12-28,10665,18153
333,2020-12-29,19870,19075
334,2020-12-30,17316,19890
335,2020-12-31,12377,20514
336,2021-01-01,6734,20841
337,2021-01-02,13620,21569
338,2021-01-03,13108,22233
339,2021-01-04,17204,22974
340,2021-01-05,14535,23597
341,2021-01-06,13512,24383
342,2021-01-07,12051,25054
343,2021-01-08,10515,25681
344,2021-01-09,8721,26150
345,2021-01-10,7463,26530
346,2021-01-11,11533,27159
347,2021-01-12,9818,27637
348,2021-01-13,9314,28156
349,2021-01-14,8918,28593
350,2021-01-15,8182,29028
351,2021-01-16,6172,29357
352,2021-01-17,5383,29667
353,2021-01-18,8303,30056
354,2021-01-19,7012,30384
355,2021-01-20,6247,30688
356,2021-01-21,5790,30943
357,2021-01-22,5564,31222
358,2021-01-23,4153,31442
359,2021-01-24,3119,31611
360,2021-01-25,4946,31828
361,2021-01-26,4147,32038
362,2021-01-27,4187,32227
363,2021-01-28,3831,32398
364,2021-01-29,3366,32567
365,2021-01-30,2614,32709
366,2021-01-31,2198,32816
367,2021-02-01,3088,32973
