,ReadingDateTime,NO2,PM2.5,SMA_3_NO2,SMA_5_NO2,SMA_7_NO2,SMA_10_NO2,SMA_20_NO2,SMA_30_NO2,SMA_45_NO2,SMA_3_PM2.5,SMA_5_PM2.5,SMA_7_PM2.5,SMA_10_PM2.5,SMA_20_PM2.5,SMA_30_PM2.5,SMA_45_PM2.5,NO2_pc_change_from_baseline,PM25_pc_change_from_baseline,AQindex_pc_change_from_baseline
430,2020-03-06,50.655102040816345,11.478124999999999,43.41606003226041,42.12983803955832,35.20053655062243,35.68442212008904,29.48391995907881,30.165467244181436,32.30871280332676,9.482291666666672,8.25756048387098,7.740694463269186,7.1308156697429625,6.259417577698231,7.14649232378089,8.301740388444792,-36.30324334730987,-52.943693141213586,-44.62346824426173
431,2020-03-07,35.903,11.863636363636362,38.659917175117535,42.20195319107347,37.83574145682734,35.79602212008904,30.55788184026693,29.136553638739258,31.810145210734166,10.647253787878794,9.564037756598253,8.321634111855895,7.792491806106598,6.70381151709217,6.919903858482749,7.996001752081156,-38.13426393957246,-54.27365733732914,-46.2039606384508
432,2020-03-08,18.228000000000005,5.742424242424242,34.928700680272186,36.875836019356306,37.825741456827345,33.55505974385142,30.380581840266927,28.21871146186851,31.08247419126109,9.694728535353542,9.210587121212134,8.413409003630786,7.764546730349022,6.655326668607321,6.423088833230223,7.78790747598688,-40.05624889820982,-57.915630224027524,-48.98593956111867
433,2020-03-09,27.61818181818182,6.096969696969697,27.249727272727345,32.365186668706954,36.69370682479272,32.81529376725376,30.47108689077198,28.210084189141238,30.54881975213296,7.901010101010108,8.756231060606073,8.522797531769314,7.788789154591446,6.695497734100968,6.353821156462546,7.60525949075825,-40.01413686304189,-58.27603698263361,-49.14508692283775
434,2020-03-10,19.25050505050505,3.2093750000000005,21.6988956228957,30.330957781900747,33.03540956649547,32.9946877066477,29.746189462884853,28.532334357491404,30.18080119311784,5.016256313131321,7.6781060606060745,7.908468614718623,7.330020772238504,6.523622734100968,6.285800323129212,7.2527079674607595,-39.74278054340665,-58.64519291712682,-49.19398673026674
435,2020-03-11,22.67272727272727,3.9451612903225812,23.180471380471456,24.73448282828293,29.107023666680988,33.43216043392043,29.566855529491512,28.608394963552012,30.107801088983717,4.417168662430768,6.171513318670591,7.276527370478992,7.214536901270764,6.509590476036452,6.225222366139965,7.059374634127427,-39.50672292153965,-59.09240206777666,-49.299562494658154
436,2020-03-12,20.208333333333332,6.199999999999999,20.710521885521956,21.595549494949598,27.7908356450806,31.898751343011345,29.41347219615818,28.51567954405088,29.66257963041174,4.451512096774202,5.03878604594332,6.9336702276218505,7.301411901270764,6.439737534859981,6.220509722461804,7.090639001943519,-38.34845119560356,-59.07199816507522,-48.710224680339394
437,2020-03-13,31.821875000000006,7.570967741935485,24.900978535353605,24.314324494949595,25.10037463924969,30.595080257152762,30.22575406497006,28.431906992504487,29.673099411556525,5.905376344086029,5.404494745845568,6.375504905041205,7.307540933528829,6.39196239254499,6.280724776225245,7.158168443827799,-37.26813213423308,-58.30056443037526,-47.784348282304165
438,2020-03-14,23.693939393939385,5.5531250000000005,25.241382575757644,23.52947601010111,23.356223124098175,27.947331339403842,30.326639153478908,28.06708451025626,29.434064619188405,6.441364247311836,5.295725806451629,5.474003281664582,7.025978433528827,6.467497430423778,6.286662276225245,7.111762792486804,-36.820969444701866,-57.410916441823126,-47.115942943262496
439,2020-03-15,22.39591836734694,5.1187499999999995,25.970577587095516,24.15855867346949,23.95164003371917,27.24475822768493,30.298035071846254,27.51044845583449,29.227125843678195,6.080947580645169,5.677600806451628,5.384906961318262,6.677853433528829,6.534647051635899,6.146782225720195,7.105651681375692,-35.552487792183655,-56.691588918677894,-46.122038355430774
440,2020-03-16,41.244791666666664,8.1875,29.111549809317733,27.872971552257372,25.898298583502715,26.30372719026996,30.99407465517959,28.423855702809185,29.598792510344865,6.28645833333334,6.526068548387111,5.683554147465449,6.348790933528829,6.7398033016359,6.289208696308431,7.211901681375692,-30.95485009873843,-53.128925930107094,-42.04188801442276
441,2020-03-17,27.820833333333336,7.015625,30.487181122449048,29.39547155225737,27.122631195335327,25.495510523603294,30.645766321846253,28.870424734712376,29.771870512589537,6.77395833333334,6.689193548387112,6.227304147465448,5.8639897971651935,6.8282408016359,6.423870943783178,7.211693348042359,-29.91329390258306,-50.33454586799977,-40.123919885291414
442,2020-03-18,24.909278350515457,7.281818181818181,31.324967783505226,28.012952222360457,27.44213849216221,26.16363835865484,29.85934905125321,28.97493401306289,29.858227090973607,7.494981060606068,6.631363636363652,6.703969417679105,6.017929191104587,6.8912379607268095,6.442860842773077,7.180649576998587,-30.284415195879845,-49.25417054613689,-39.76929287100837
443,2020-03-19,29.35368421052632,9.806060606060607,27.361265298125108,29.144901185677845,28.748617188904067,26.337188597889288,29.576241182571607,29.093120793144408,29.89315744716712,8.03450126262627,7.481950757575772,7.21912093283062,6.388838282013678,7.088813718302568,6.593277916738539,7.216609172958183,-29.752552874093862,-48.08194781424626,-38.917250344170064
444,2020-03-20,18.673684210526314,5.6878787878787875,24.31221559052277,28.400454354313716,26.870304218979253,26.27950651389141,29.63709711026964,28.590628479887034,29.592105985178815,7.591919191919199,7.59577651515153,6.950108225108235,6.636688660801558,6.983354716520037,6.561311376334499,7.187908440139803,-30.98779722570034,-48.66715669092137,-39.827476958310854
445,2020-03-21,17.163541666666664,7.051515151515151,21.73030336257317,23.58420435431372,25.937390257940297,25.72858795328535,29.58037419360297,28.287433004089454,28.576051355549186,7.515151515151522,7.36857954545456,7.164163961038971,6.947324046920814,7.080930474095796,6.655501666331241,6.993901706133069,-31.91286398133292,-48.3558789252075,-40.134371453270205
446,2020-03-22,18.402083333333326,9.712121212121213,18.07976973684217,21.70045435431372,25.366842395938352,25.547962953285346,28.723357148148427,28.124969115200564,27.50119969266181,7.483838383838392,7.907878787878802,7.820359848484858,7.2985361681329355,7.299974034701856,6.726003745950967,6.7950312814561915,-32.0546396276312,-47.52133623117897,-39.787987929405084
447,2020-03-23,38.15104166666667,11.972727272727273,24.57222222222229,24.348807017543965,24.924878110224064,26.18087961995201,28.38797993855247,28.877462583297373,27.332039167340568,9.578787878787887,8.846060606060622,8.361106601731612,7.738712121212113,7.5231265273704775,6.840878968767367,6.602272443072353,-29.35325741487932,-45.22598693951675,-37.289622177198034
448,2020-03-24,36.66000000000001,13.443750000000001,31.07104166666674,25.8100701754387,26.18761620546216,27.477485680558072,27.71240850998104,29.37692132917196,27.52721694511835,11.709532828282837,9.5735984848485,9.279410173160183,8.527774621212114,7.776876527370478,7.154256494019892,6.719355776405687,-27.156506333730057,-39.82048360184592,-33.488494967787986
449,2020-03-25,45.54315789473686,19.37666666666667,40.11806652046791,31.183964912280807,29.135313283208074,29.792209633297063,28.51848393049108,30.129426592329857,28.32633156500139,14.931047979797988,12.311356060606077,11.007245670995681,9.95356628787878,8.31570986070381,7.674286797050195,7.033281702331612,-25.17159643701996,-32.016885104250434,-28.594240770635196
450,2020-03-26,31.748936170212747,24.261290322580646,37.98403135498328,34.10104381299002,29.47749213459185,28.842624083651668,27.5731756369609,30.276924464670284,28.578732166763693,19.027235663082447,15.753311094819177,13.0722784876414,11.560945320136845,8.954868126832842,8.346850641136216,7.444365931722293,-23.281564583675284,-20.603309998284214,-21.942437290979747
451,2020-03-27,22.29368421052631,24.599999999999998,33.19525942515871,34.879363988428615,29.994634991734706,28.289909171370965,26.892709847487215,29.86048060502116,28.563263017700557,22.74598566308244,18.73088685239493,15.774010089373002,13.319382820136846,9.591686308651024,8.991954807802882,7.850113058159075,-22.430245586062636,-9.12951539240867,-15.779880489235653
452,2020-03-28,11.40421052631579,12.5375,21.81561030235169,29.529997760358434,29.171873400256008,26.939402388951,26.551520373803005,28.886033497152475,28.053688772809984,20.466263440860217,18.843841397849477,16.557722210585123,13.844951001955028,9.93144009652981,9.209142307802884,8.000623810847248,-23.402079212814662,-2.4973681350595522,-12.949723673937108
453,2020-03-29,7.814583333333332,5.437500000000001,13.837492690058554,23.7609144270251,27.65937340025601,24.785492301231702,25.56134044956058,27.979324888791634,27.45759920551992,14.191666666666668,17.242591397849473,15.947062037424947,13.408094941348967,9.898466611681325,9.195240792651367,8.002012699736136,-26.29207277344141,-8.19813919504404,-17.245105984242727
454,2020-03-30,18.018749999999994,5.503125000000001,12.412514619883117,18.25603284807773,24.78333173358934,24.71999888017907,25.499752697035323,27.998064366906114,26.989238094408808,7.826041666666668,14.46788306451614,15.022833141321053,13.389619562561089,10.013154111681327,9.118776331867053,7.917300999399437,-24.579155763942882,-8.737926259425278,-16.65854101168408
455,2020-03-31,21.35408163265306,7.359375,15.72913832199554,16.177061940565792,22.596771966825486,25.139052876777708,25.43382041503161,28.099933754661215,27.15616048052497,6.100000000000001,11.087500000000011,14.153636712749622,13.420405547409572,10.183864797165198,9.194088831867052,7.993849202013815,-25.070081061234838,-8.57234309416156,-16.8212120776982
456,2020-04-01,34.80309278350516,8.961290322580643,24.72530813871948,18.678943655161564,21.062476950935242,26.779153821794893,26.1635583875402,28.075289372697245,27.609034489575365,7.27459677419355,7.95975806451614,12.665725806451618,13.345322458455517,10.32192931329423,9.315090175953072,8.126861040832106,-27.4005348796725,-10.42060840365554,-18.91057164166402
457,2020-04-02,23.61145833333333,6.112903225806452,26.589544249830592,21.12039321656507,19.89998011709533,25.32519548846156,25.753037554206866,27.367051788522165,27.64986689698277,7.4778561827957,6.674838709677429,10.073099078341018,12.759340053763434,10.249026087487781,9.268531036168127,8.113545085580666,-30.678468694302698,-12.658730454980905,-21.668599574641803
458,2020-04-03,32.27216494845361,9.148387096774194,30.22890535509744,26.01190953958913,21.325477365370656,24.88641198330692,26.18194883193258,26.77040966775633,27.793513211213273,8.074193548387099,7.417016129032268,7.865725806451617,12.329803763440855,10.42878919232649,9.294518939393933,8.199208168017941,-32.23327864366334,-12.74185941779271,-22.487569030728025
